SoC_pct,T0C,T5C,T10C,T15C,T20C,T25C,T30C
72,3.9946924648324664,3.9955773937490653,3.999765701746939,4.008345919266982,4.01391348887729,4.015115038071173,4.012974711432865
73,3.9993460650564243,3.9998657403498283,4.003960436557078,4.013188000090846,4.019239196171699,4.020965909391746,4.020080415609052
74,4.006715414347607,4.00709105168381,4.010694829136416,4.019032007898797,4.024364124401799,4.025796201510031,4.025500448257693
75,4.016253217669782,4.016516489170196,4.019031069832163,4.02479099226983,4.0284028309732705,4.029430606108449,4.029478166183151
76,4.023707997135099,4.023956862007417,4.025536263679371,4.028741566053208,4.030987958619881,4.032284916788004,4.032858467955845
77,4.0255201796957785,4.026072659994947,4.028000942789252,4.030675682198222,4.032886128655489,4.0350101567063215,4.036126447879713
78,4.0255201796957785,4.026072659994947,4.028000942789252,4.032183638193636,4.035360566117358,4.03808841294904,4.039398724885482
79,4.0255201796957785,4.026072659994947,4.028000942789252,4.034975998474638,4.038982233059042,4.041539217062795,4.042644349200925
80,4.0255201796957785,4.026072659994947,4.030049160308646,4.039207689838947,4.043074986746232,4.044938505185212,4.045717721126314
81,4.0255201796957785,4.027690350696877,4.0355747526249885,4.043724986831608,4.046712002120409,4.047969921545935,4.048526208975886
82,4.0347996955044465,4.036651260795622,4.0422592004665425,4.048051056991363,4.050127327946378,4.050978272753008,4.0513562680168675
83,4.044890489562873,4.0460426997759145,4.049543796522328,4.053130327848154,4.054475139919789,4.054870434477417,4.055010027716506
84,4.055567478337892,4.056148348980062,4.0578950558191815,4.059579159114935,4.060181391926451,4.060097639210043,4.060010639053197
85,4.0661224411034285,4.066203572913132,4.066410783251852,4.066447180717027,4.066294646186806,4.065729480811764,4.0654397235394555
86,4.074344366597855,4.074125177944764,4.073427612404807,4.072565578379319,4.071829486056957,4.070589687038585,4.07000178872467
87,4.080079434389124,4.079831663469491,4.079071011039678,4.078207283018431,4.077233002084977,4.075443289526647,4.074606107810107
88,4.085821530366726,4.085683289531472,4.085266900421642,4.084793727022653,4.08399423073061,4.082387658421291,4.081640533517199
89,4.093759752481337,4.0937131739942965,4.093574628711055,4.093407907533422,4.0929849239056795,4.092094317576094,4.0916821354677415
90,4.10391743110705,4.103907529280725,4.103878284828157,4.103838807163499,4.103695567265917,4.103387603220181,4.10324562630003
91,4.115098339754665,4.115096996279332,4.115093032394924,4.115086666704767,4.115055748131283,4.114988691808358,4.114957867896241
92,4.126367250696645,4.126367134748364,4.1263667948038325,4.126366111623741,4.126361872395843,4.126352616622313,4.1263483687632085
93,4.13735147505308,4.13735147505308,4.1373514743178115,4.137351437765972,4.13735105688705,4.137350224971005,4.137349844827353
94,4.1479289998574975,4.1479289998574975,4.1479289998574975,4.1479289998574975,4.1479289998574975,4.1479289998574975,4.1479289998574975
95,4.158028126750338,4.158028126750338,4.158028126750338,4.158028126750338,4.158028126750338,4.158028126750338,4.158028126750338
96,4.167575682465701,4.167575682465701,4.167575682465701,4.167575682465701,4.167575682465701,4.167575682465701,4.167575682465701
97,4.176460390586799,4.176460390586799,4.176460390586799,4.176460390586799,4.176460390586799,4.176460390586799,4.176460390586799
98,4.184409470137293,4.184409470137293,4.184409470137293,4.184409470137293,4.184409470137293,4.184409470137293,4.184409470137293
99,4.190759232203946,4.190759232203946,4.190759232203946,4.190759232203946,4.190759232203946,4.190759232203946,4.190759232203946
100,4.194412072575148,4.194412072575148,4.194412072575148,4.194412072575148,4.194412072575148,4.194412072575148,4.194412072575148
